stock_code,stock_name,trade_date,open_price,high_price,low_price,close_price,volume
005930,삼성전자,2020-02-03,55500,57400,55200,57200,23995260
005930,삼성전자,2020-02-04,57100,59000,56800,58900,21800192
005930,삼성전자,2020-02-05,60000,60200,58900,59500,19278165
005930,삼성전자,2020-02-06,60100,61100,59700,61100,14727159
005930,삼성전자,2020-02-07,61100,61200,59700,60400,16402493
005930,삼성전자,2020-02-10,59200,59800,59100,59700,13107121
005930,삼성전자,2020-02-11,59800,60700,59700,59900,11071231
005930,삼성전자,2020-02-12,60300,60700,59700,60500,12904207
005930,삼성전자,2020-02-13,61200,61600,60500,60700,18449775
005930,삼성전자,2020-02-14,60900,61900,60200,61800,13276067
005930,삼성전자,2020-02-17,61600,62000,61200,61500,8740596
005930,삼성전자,2020-02-18,60800,60900,59700,59800,16674266
005930,삼성전자,2020-02-19,59800,60400,59400,60200,12951496
005930,삼성전자,2020-02-20,60700,61300,59600,60000,14591924
005930,삼성전자,2020-02-21,58800,59800,58500,59200,13777393
005930,삼성전자,2020-02-24,57400,58100,56800,56800,25627537
005930,삼성전자,2020-02-25,56200,58000,56200,57900,23885408
005930,삼성전자,2020-02-26,56000,57000,56000,56500,25483102
005930,삼성전자,2020-02-27,56300,56900,55500,55900,23209541
005930,삼성전자,2020-02-28,55000,55500,54200,54200,30054227
005930,삼성전자,2020-03-02,54300,55500,53600,55000,30403412
005930,삼성전자,2020-03-03,56700,56900,55100,55400,30330295
005930,삼성전자,2020-03-04,54800,57600,54600,57400,24765728
005930,삼성전자,2020-03-05,57600,58000,56700,57800,21698990
005930,삼성전자,2020-03-06,56500,57200,56200,56500,18716656
005930,삼성전자,2020-03-09,56500,56500,56500,56500,0
005930,삼성전자,2020-03-10,53800,54900,53700,54600,32106554
005930,삼성전자,2020-03-11,54300,54400,52000,52100,45707281
005930,삼성전자,2020-03-12,52100,52100,52100,52100,0
005930,삼성전자,2020-03-13,47450,51600,46850,49950,59462933
005930,삼성전자,2020-03-16,50100,50900,48800,48900,33339821
005930,삼성전자,2020-03-17,46900,49650,46700,47300,51218151
005930,삼성전자,2020-03-18,47750,48350,45600,45600,40152623
005930,삼성전자,2020-03-19,46400,46650,42300,42950,56925513
005930,삼성전자,2020-03-20,44150,45500,43550,45400,49730008
005930,삼성전자,2020-03-23,42600,43550,42400,42500,41701626
005930,삼성전자,2020-03-24,43850,46950,43050,46950,49801908
005930,삼성전자,2020-03-25,48950,49600,47150,48650,52735922
005930,삼성전자,2020-03-26,49000,49300,47700,47800,42185129
005930,삼성전자,2020-03-27,49600,49700,46850,48300,39896178
005930,삼성전자,2020-03-30,47050,48350,46550,47850,26797395
005930,삼성전자,2020-03-31,48000,48500,47150,47750,30654261
005930,삼성전자,2020-04-01,47450,47900,45800,45800,27259532
005930,삼성전자,2020-04-02,46200,46850,45350,46800,21621076
005930,삼성전자,2020-04-03,47400,47600,46550,47000,22784682
005930,삼성전자,2020-04-06,47500,48800,47250,48700,23395726
005930,삼성전자,2020-04-07,49650,50200,49000,49600,31524034
005930,삼성전자,2020-04-08,49600,49750,48600,48600,25010314
005930,삼성전자,2020-04-09,49750,49800,48700,49100,22628058
005930,삼성전자,2020-04-10,48950,49250,48650,49250,17839111
005930,삼성전자,2020-04-13,48650,48900,48300,48300,14431800
005930,삼성전자,2020-04-14,48800,49200,48300,49000,14206216
005930,삼성전자,2020-04-16,49350,49350,48550,49000,23349760
005930,삼성전자,2020-04-17,50800,52000,50300,51400,32041675
005930,삼성전자,2020-04-20,51400,51400,50000,50100,21866354
005930,삼성전자,2020-04-21,49400,49700,48700,49250,27407543
005930,삼성전자,2020-04-22,48700,50000,48350,49850,18613864
005930,삼성전자,2020-04-23,50200,50300,49500,49850,18754442
005930,삼성전자,2020-04-24,49650,49750,49000,49350,15618347
005930,삼성전자,2020-04-27,49350,50000,49100,49850,14049471
005930,삼성전자,2020-04-28,49850,50100,49300,50100,16095399
005930,삼성전자,2020-04-29,49900,50500,49600,50000,15604533
000660,SK하이닉스,2020-02-03,91800,95600,91500,94700,3725535
000660,SK하이닉스,2020-02-04,94800,97500,94500,97100,3169743
000660,SK하이닉스,2020-02-05,99300,99300,96900,97700,2911995
000660,SK하이닉스,2020-02-06,98900,101000,98300,100500,2861441
000660,SK하이닉스,2020-02-07,100000,100500,98400,99300,1827393
000660,SK하이닉스,2020-02-10,98000,99200,97400,98800,1825648
